DATE, INBOUND_FOR , OUTBOUND_FOR , NET_FOR , INBOUND_KZT , OUTBOUND_KZT , NET_KZT , NET_TOTAL ,USD,EUR,DELTA_NET_USD,DELTA_NET_EUR,DELTA_IN_FOR,DELTA_OUT_FOR,DELTA_NET_FOR,DELTA_IN_KZT,DELTA_OUT_KZT,DELTA_NET_KZT,CALENDAR,RATE_FOR,RATE_KZT
3/16/2016,46778438,30876587,15901852,47110679,64102145,-16991465,-1089614,343.23,380.23,0.00,0.00,0.49,-0.31,-2.21,-0.18,0.16,-8.39,NORMAL,0.02,0.13
3/17/2016,28771042,45708549,-16937507,56652359,49308262,7344097,-9593410,346.61,384.49,0.01,0.01,-0.39,0.48,-2.07,0.20,-0.23,-1.43,NORMAL,0.02,0.13
3/18/2016,26705153,37712651,-11007498,60760289,51074207,9686082,-1321416,346.05,391.45,0.00,0.02,-0.07,-0.17,-0.35,0.07,0.04,0.32,NORMAL,0.02,0.13
3/19/2016,22571141,11114545,11456597,39135139,32544432,6590708,18047304,345.73,389.78,0.00,0.00,-0.15,-0.71,-2.04,-0.36,-0.36,-0.32,WEEKEND,0.02,0.13
3/20/2016,12317574,5421733,6895842,19666251,18466140,1200111,8095952,345.73,389.78,0.00,0.00,-0.45,-0.51,-0.40,-0.50,-0.43,-0.82,WEEKEND,0.02,0.13
3/21/2016,16339465,11185526,5153939,18746870,17003611,1743259,6897198,345.73,389.78,0.00,0.00,0.33,1.06,-0.25,-0.05,-0.08,0.45,HOLIDAY,0.02,0.13
3/22/2016,4592350,3913260,679089,13234238,12647751,586488,1265577,345.73,389.78,0.00,0.00,-0.72,-0.65,-0.87,-0.29,-0.26,-0.66,HOLIDAY,0.02,0.13
3/23/2016,6475537,8270119,-1794582,19580052,18258086,1321966,-472617,345.73,389.78,0.00,0.00,0.41,1.11,-3.64,0.48,0.44,1.25,HOLIDAY,0.02,0.13
3/24/2016,26306282,26869600,-563318,49807803,46740438,3067365,2504047,345.73,389.78,0.00,0.00,3.06,2.25,-0.69,1.54,1.56,1.32,NORMAL,0.02,0.13
3/25/2016,23553022,60490216,-36937194,65611048,44060429,21550619,-15386574,346.97,387.53,0.00,-0.01,-0.10,1.25,64.57,0.32,-0.06,6.03,NORMAL,0.02,0.13
3/26/2016,13400565,31899950,-18499384,53617029,23039793,30577235,12077851,343.83,383.95,-0.01,-0.01,-0.43,-0.47,-0.50,-0.18,-0.48,0.42,WEEKEND,0.02,0.13
3/27/2016,5825980,13774831,-7948851,22439745,17049042,5390703,-2558148,343.83,383.95,0.00,0.00,-0.57,-0.57,-0.57,-0.58,-0.26,-0.82,WEEKEND,0.02,0.13
3/28/2016,27683009,74483170,-46800161,92924703,40475622,52449081,5648920,343.83,383.95,0.00,0.00,3.75,4.41,4.89,3.14,1.37,8.73,NORMAL,0.02,0.13
3/29/2016,23407408,69730270,-46322863,79303141,40385789,38917352,-7405511,340.15,379.61,-0.01,-0.01,-0.15,-0.06,-0.01,-0.15,0.00,-0.26,NORMAL,0.02,0.13
3/30/2016,22776217,44259796,-21483579,51937996,35578623,16359373,-5124206,341.51,382.35,0.00,0.01,-0.03,-0.37,-0.54,-0.35,-0.12,-0.58,NORMAL,0.02,0.13
3/31/2016,18112086,39457063,-21344977,65815283,33294125,32521159,11176182,343.06,388.24,0.00,0.02,-0.20,-0.11,-0.01,0.27,-0.06,0.99,SALARY,0.02,0.13
