DATE, INBOUND_FOR , OUTBOUND_FOR , NET_FOR , INBOUND_KZT , OUTBOUND_KZT , NET_KZT , NET_TOTAL ,USD,EUR,DELTA_NET_USD,DELTA_NET_EUR,DELTA_IN_FOR,DELTA_OUT_FOR,DELTA_NET_FOR,DELTA_IN_KZT,DELTA_OUT_KZT,DELTA_NET_KZT,DELTA_NET_TOTAL,CALENDAR,RATE_FOR,RATE_KZT
2/12/2016,22353305.0000,56075925.0000,-33722620.0000,105990116.0000,75623064.0000,30367052.0000,-3355568.0000,360.3100,407.7300,0.0053,0.0002,-0.1070,0.3632,-1.0940,0.2060,0.0752,0.7298,-3.3123,NORMAL,0.0240,0.1220
2/13/2016,14385001.0000,22451662.0000,-8066662.0000,79456621.0000,51087190.0000,28369431.0000,20302769.0000,368.1700,415.5200,-0.0218,-0.0191,-0.3565,-0.5996,0.7608,-0.2503,-0.3244,-0.0658,-7.0505,WEEKEND,0.0240,0.1220
2/14/2016,7174297.0000,11373534.0000,-4199236.0000,35029598.0000,25021447.0000,10008151.0000,5808915.0000,368.1700,415.5200,0.0000,0.0000,-0.5013,-0.4934,0.4794,-0.5591,-0.5102,-0.6472,-0.7139,WEEKEND,0.0240,0.1220
2/15/2016,23050228.0000,35231975.0000,-12181748.0000,90263603.0000,76148260.0000,14115343.0000,1933595.0000,368.1700,415.5200,0.0000,0.0000,2.2129,2.0977,-1.9009,1.5768,2.0433,0.4104,-0.6671,NORMAL,0.0240,0.1220
2/16/2016,33628834.0000,50451063.0000,-16822229.0000,89132585.0000,77545374.0000,11587210.0000,-5235018.0000,362.1000,405.7000,0.0165,0.0236,0.4589,0.4320,-0.3809,-0.0125,0.0183,-0.1791,-3.7074,NORMAL,0.0240,0.1220
2/17/2016,27540874.0000,41766009.0000,-14225135.0000,87146782.0000,70523265.0000,16623518.0000,2398383.0000,357.7100,399.9200,0.0121,0.0142,-0.1810,-0.1721,0.1544,-0.0223,-0.0906,0.4346,-1.4581,NORMAL,0.0240,0.1220
2/18/2016,26210588.0000,57807135.0000,-31596547.0000,106637683.0000,72432197.0000,34205486.0000,2608939.0000,359.2300,399.6100,-0.0042,0.0008,-0.0483,0.3841,-1.2212,0.2237,0.0271,1.0577,0.0878,NORMAL,0.0240,0.1220
2/19/2016,31059059.0000,52602742.0000,-21543684.0000,89343589.0000,67471633.0000,21871955.0000,328272.0000,350.5800,390.3700,0.0241,0.0231,0.1850,-0.0900,0.3182,-0.1622,-0.0685,-0.3606,-0.8742,NORMAL,0.0240,0.1220
2/20/2016,16720184.0000,12958664.0000,3761520.0000,59631420.0000,50321394.0000,9310026.0000,13071546.0000,355.4500,393.8000,-0.0139,-0.0088,-0.4617,-0.7537,1.1746,-0.3326,-0.2542,-0.5743,38.8193,WEEKEND,0.0240,0.1220
2/21/2016,7637510.0000,7150365.0000,487145.0000,24198022.0000,21072804.0000,3125217.0000,3612362.0000,355.4500,393.8000,0.0000,0.0000,-0.5432,-0.4482,0.8705,-0.5942,-0.5812,-0.6643,-0.7236,WEEKEND,0.0240,0.1220
2/22/2016,22014332.0000,43057358.0000,-21043026.0000,83798144.0000,61200547.0000,22597597.0000,1554571.0000,355.4500,393.8000,0.0000,0.0000,1.8824,5.0217,44.1966,2.4630,1.9042,6.2307,-0.5697,NORMAL,0.0240,0.1220
2/23/2016,21883499.0000,47145372.0000,-25261873.0000,79171054.0000,61288009.0000,17883044.0000,-7378829.0000,351.7700,389.5900,0.0104,0.0107,-0.0059,0.0949,-0.2005,-0.0552,0.0014,-0.2086,-5.7465,NORMAL,0.0240,0.1220
2/24/2016,22454734.0000,34481393.0000,-12026658.0000,68899717.0000,59463725.0000,9435992.0000,-2590666.0000,348.6900,383.6600,0.0088,0.0152,0.0261,-0.2686,0.5239,-0.1297,-0.0298,-0.4723,-0.6489,NORMAL,0.0240,0.1220
2/25/2016,16305520.0000,29565691.0000,-13260171.0000,68710858.0000,53467965.0000,15242893.0000,1982722.0000,348.9600,383.3000,-0.0008,0.0009,-0.2738,-0.1426,-0.1026,-0.0027,-0.1008,0.6154,-1.7653,NORMAL,0.0240,0.1220
2/26/2016,21394254.0000,37912638.0000,-16518384.0000,67662982.0000,52458599.0000,15204383.0000,-1314001.0000,350.2500,385.7700,-0.0037,-0.0064,0.3121,0.2823,-0.2457,-0.0153,-0.0189,-0.0025,-1.6627,NORMAL,0.0240,0.1220
2/27/2016,16256706.0000,11553272.0000,4703434.0000,46815056.0000,32876698.0000,13938358.0000,18641793.0000,349.8200,385.3600,0.0012,0.0011,-0.2401,-0.6953,1.2847,-0.3081,-0.3733,-0.0833,-15.1870,WEEKEND,0.0240,0.1220
2/28/2016,6704829.0000,6608535.0000,96295.0000,25780551.0000,20668875.0000,5111676.0000,5207970.0000,349.8200,385.3600,0.0000,0.0000,-0.5876,-0.4280,0.9795,-0.4493,-0.3713,-0.6333,-0.7206,WEEKEND,0.0240,0.1220
2/29/2016,22755438.0000,31726737.0000,-8971298.0000,68891338.0000,52962080.0000,15929258.0000,6957960.0000,349.8200,385.3600,0.0000,0.0000,2.3939,3.8009,94.1647,1.6722,1.5624,2.1162,0.3360,SALARY,0.0240,0.1220
