DATE,IN_FOR,OUT_FOR,IN_KZT,OUT_KZT
6/23/2016,12427766.00,22528787.00,51272847.00,37120909.00
6/24/2016,21079580.00,30061279.00,61353042.00,45157783.00
6/25/2016,15553630.00,8682894.00,35185874.00,23709078.00
6/26/2016,3796740.00,5680611.00,18284971.00,22259043.00
6/27/2016,16740233.00,25097554.00,59652342.00,41636265.00
6/28/2016,12949604.00,31305160.00,56069450.00,41446565.00
6/29/2016,11616303.00,21105604.00,57173901.00,35974492.00
6/30/2016,12380735.00,24658046.00,61388077.00,34452301.00
7/1/2016,15952246.00,29690238.00,75364352.00,54179248.00
7/2/2016,9127552.00,10001352.00,42389142.00,27756207.00
7/3/2016,4195268.00,7214001.00,28325384.00,17709131.00
7/4/2016,16712717.00,24388073.00,56236411.00,45281985.00
7/5/2016,19621708.00,34724190.00,64429228.00,49315043.00
7/6/2016,12155631.00,6353619.00,35895506.00,27620561.00
7/7/2016,14826332.00,20442284.00,58602203.00,38212334.00
7/8/2016,16652683.00,32331290.00,66160434.00,42923533.00
7/9/2016,11323433.00,9006003.00,44267360.00,23617693.00
7/10/2016,3610553.00,5743031.00,22268326.00,17357757.00
7/11/2016,17519495.00,17460747.00,58048260.00,41653485.00
7/12/2016,12838542.00,25697976.00,63411169.00,44066859.00
7/13/2016,16404168.00,21031011.00,64020337.00,46691986.00
7/14/2016,13224521.00,24086845.00,61407802.00,38298287.00
7/15/2016,15017239.00,22540370.00,61282805.00,42531703.00
7/16/2016,8349907.00,7321124.00,33379353.00,24082319.00
7/17/2016,3215821.00,4035892.00,20934522.00,17478062.00
7/18/2016,12212024.00,18681292.00,43364873.00,35596674.00
7/19/2016,15045972.00,24838794.00,55597563.00,49803579.00
7/20/2016,13620691.00,23153611.00,53201248.00,42328512.00
7/21/2016,19386633.00,23669932.00,58352141.00,46414617.00
7/22/2016,25483641.00,21727513.00,49272992.00,49634071.00
7/23/2016,9815912.00,6815938.00,31048562.00,27265564.00
7/24/2016,4983313.00,4491068.00,17206280.00,18067921.00
7/25/2016,29890843.00,22441169.00,51744761.00,53073400.00
7/26/2016,58348233.00,24073709.00,48516704.00,96076485.00
7/27/2016,45753525.00,30939113.00,55332162.00,72711866.00
7/28/2016,38782823.00,24301385.00,46213661.00,66342428.00
7/29/2016,34182682.00,22062098.00,45842510.00,62800955.00
7/30/2016,15901630.00,9190133.00,34100833.00,25702132.00
7/31/2016,5526556.00,6134658.00,20411648.00,17880490.00
8/1/2016,31354092.00,27932216.00,64392937.00,70182282.00
8/2/2016,43721059.00,27501334.00,55759485.00,81609835.00
8/3/2016,49553226.00,22176482.00,49800345.00,75853838.00
8/4/2016,29157482.00,23849152.00,51243718.00,57172946.00
8/5/2016,25300675.00,23460959.00,59364150.00,47670644.00
8/6/2016,16991274.00,7915701.00,36268528.00,26972425.00
8/7/2016,5171322.00,3734679.00,20562020.00,18033152.00
8/8/2016,18683763.00,23184337.00,55183114.00,45585634.00
8/9/2016,20605648.00,32303508.00,58093036.00,51486900.00
8/10/2016,18230812.00,23779935.00,52806127.00,47904606.00
8/11/2016,20679835.00,21886923.00,50428871.00,41078508.00
8/12/2016,18229318.00,22463913.00,50168291.00,45084985.00
8/13/2016,12680924.00,9290155.00,36816108.00,24679070.00
8/14/2016,3358501.00,3401485.00,16915658.00,20420753.00
8/15/2016,18269384.00,23733029.00,54249187.00,48560728.00
8/16/2016,15774154.00,25202443.00,51910712.00,50960965.00
8/17/2016,19787693.00,19390723.00,48860080.00,46535102.00
8/18/2016,17349342.00,20496459.00,50304268.00,44173833.00
8/19/2016,22885400.00,25661184.00,49482114.00,48134621.00
8/20/2016,11799764.00,8525852.00,35144238.00,28952565.00
8/21/2016,5097812.00,4036077.00,17797140.00,20873690.00
8/22/2016,24697400.00,16644608.00,46408479.00,57715868.00
8/23/2016,15125916.00,21541532.00,43208488.00,50070033.00
8/24/2016,20984297.00,17840484.00,45688580.00,49097151.00
8/25/2016,15241230.00,17915851.00,44181000.00,46292497.00
8/26/2016,22105770.00,21659202.00,51057026.00,44234761.00
8/27/2016,12770966.00,7001970.00,36447222.00,27349744.00
8/28/2016,5270159.00,4083399.00,19161639.00,17210540.00
8/29/2016,22707296.00,20839687.00,53647166.00,47049881.00
8/30/2016,7446063.00,5552974.00,27366091.00,25433838.00
8/31/2016,16605406.00,22501300.00,51663788.00,41796032.00
9/1/2016,22931415.00,28012435.00,65248748.00,67096824.00
9/2/2016,18515854.00,31967510.00,63826454.00,59349436.00
9/3/2016,13664459.00,9855734.00,41523601.00,31047818.00
9/4/2016,5605055.00,5950384.00,22762539.00,19255301.00
9/5/2016,21322096.00,28150395.00,58089521.00,51000274.00
9/6/2016,18216886.00,26969380.00,60087906.00,51640996.00
9/7/2016,20304812.00,18774067.00,57067462.00,47852299.00
9/8/2016,17733526.00,16952034.00,55097765.00,43953748.00
9/9/2016,20035613.00,21245388.00,57697014.00,46464842.00
9/10/2016,13186364.00,6597145.00,40277024.00,22743340.00
9/11/2016,6641879.00,4501976.00,24284624.00,23394339.00
9/12/2016,5814458.00,3652908.00,19825201.00,19586753.00
9/13/2016,16772954.00,16305989.00,48082080.00,42098623.00
9/14/2016,17096724.00,26352575.00,54298966.00,47693962.00
9/15/2016,16976973.00,21519763.00,56201506.00,41974190.00
9/16/2016,18212948.00,19439009.00,52881828.00,44748756.00
9/17/2016,9624787.00,8738603.00,37599024.00,27117790.00
9/18/2016,4439225.00,4870972.00,21646529.00,18966879.00
9/19/2016,23908817.00,17665619.00,54632981.00,48678259.00
9/20/2016,17322057.00,25245290.00,58708297.00,44484000.00
9/21/2016,15763691.00,20406151.00,52608562.00,43840532.00
9/22/2016,15946894.00,21238765.00,54705435.00,41037971.00
9/23/2016,18269850.00,20938664.00,57542679.00,48025382.00
9/24/2016,12466552.00,8694308.00,37874048.00,29878691.00
9/25/2016,6130261.00,6129660.00,21922276.00,19550741.00
9/26/2016,16320084.00,20374159.00,52038884.00,46744009.00
9/27/2016,17359731.00,23760349.00,53784015.00,45631422.00
9/28/2016,18193361.00,16800153.00,53927513.00,40091419.00
9/29/2016,15291197.00,25243554.00,58558091.00,40333177.00
9/30/2016,18308554.00,21796820.00,70588793.00,43219082.00
10/1/2016,15817009.00,11564104.00,52793872.00,37119404.00
10/2/2016,4656022.00,5371665.00,24517948.00,24101486.00
10/3/2016,20975001.00,31581240.00,68258126.00,59485332.00
10/4/2016,15869414.00,27689327.00,74112649.00,54452077.00
10/5/2016,20263243.00,27723724.00,71531454.00,47305498.00
10/6/2016,15374521.00,27828752.00,69092286.00,44142121.00
10/7/2016,16487488.00,23488411.00,69461919.00,48939377.00
10/8/2016,12751960.00,9356687.00,57665721.00,37073751.00
10/9/2016,5381113.00,5114879.00,34329292.00,31630257.00
10/10/2016,17217226.00,19792922.00,90283876.00,72365735.00
10/11/2016,18065613.00,27928778.00,88805683.00,68711465.00
10/12/2016,19499775.00,22613081.00,78821517.00,54911220.00
10/13/2016,23713640.00,19022862.00,68571731.00,51897993.00
10/14/2016,15423212.00,25605867.00,63650861.00,58172559.00
10/15/2016,11625082.00,8062791.00,50110134.00,33226761.00
10/16/2016,8656996.00,8183686.00,26100750.00,25655525.00
10/17/2016,16803456.00,19724205.00,66832807.00,52844035.00
10/18/2016,20640557.00,28931060.00,58611600.00,55429722.00
10/19/2016,13912932.00,19148460.00,59060711.00,48867651.00
10/20/2016,17045927.00,19703121.00,58575983.00,46556134.00
10/21/2016,16899096.00,20238602.00,57776578.00,50008540.00
10/22/2016,8176204.00,8484315.00,42188483.00,31645993.00
