,0
98,1816189.735134655
99,2536781.545133634
100,3795275.7327069873
101,927253.0270770665
102,3997791.650975829
103,1240994.0568083602
104,5814404.673641453
105,3000753.327588222
106,3542536.7905029133
107,2846377.294311563
108,2808396.0481485156
109,2476272.0391259715
110,4678784.435914419
111,3129991.390697499
112,4623895.591309547
113,1653714.9369239558
114,3088582.3711330253
115,4509393.456878996
116,2292524.098050178
117,2292133.2565787495
118,1063191.621610951
119,5482042.413753835
120,2187248.366422706
121,6024394.060841458
122,5854300.686035745
123,4247832.6766349785
124,1883099.532591558
125,2909562.814329911
126,4910914.389347689
127,2327107.9269938716
128,9102265.93846283
129,1434441.1647892778
130,2858861.1550248316
131,2906462.437066317
132,2535101.5604470307
133,3754017.414175202
134,1932043.0604650164
135,1919311.4971900508
136,3676057.788897884
137,4535838.71394632
138,3859090.331108478
139,4750897.987516136
140,7345092.159633245
141,1036277.0134884829
142,1495220.3623018174
143,3750969.068752786
144,1429758.8991964813
145,2873418.390675881
146,2513438.2268020054
147,2740981.703635098
148,6804084.504413646
149,2145183.40432366
150,3616193.188309736
151,3245021.0649476955
152,2277620.169080053
153,2309679.113400164
154,5190515.813497538
155,1831110.8574082064
156,2678183.6453994066
157,3045233.4888179977
158,2958700.7630502274
159,2395740.8744912003
160,3210990.1719703996
161,5363508.598703734
162,2775300.366015949
163,1251001.9368748602
164,2491034.7510865293
165,2145183.40432366
166,2784880.7695633397
167,1575731.3069477477
168,4771940.417595164
169,3098690.944820337
170,2008836.6330853642
171,2385235.2704479904
172,1262812.9187111505
173,1743248.4001772008
174,1332873.1635118625
175,4785999.444538122
176,2155018.2152106334
177,4241088.194428759
178,1525188.1655533924
179,1206628.7305681987
180,4288577.127643098
181,2542116.386050163
182,4801635.245934914
183,1308025.1452178461
184,5815735.341623817
185,2772905.805333986
186,5142083.33383636
187,2218982.194729717
188,13099885.02788695
189,2209891.6720454833
190,2155986.254060171
191,2424174.708708981
192,5690437.95287775
193,2277620.169080053
194,3176091.6336267167
195,2787287.2280234704
196,5173300.6193141835
197,3482177.0617626263
198,4316427.906680013
199,1049536.868374921
200,4616635.859408762
201,5365080.601832638
202,14129281.14702431
203,1076366.1852808658
204,1747275.0684610342
205,2500200.6615504795
206,2928611.1391029414
207,3344609.161161309
208,3820220.7467101254
209,3692302.6310377186
210,2863104.589736909
211,2483782.2316176146
212,2355643.7620404093
213,4020853.838902212
214,1869238.5825544114
215,1023279.7404233662
216,2335117.67995565
217,1980095.3954128192
218,1846101.2760101426
219,1855569.887317629
220,2131064.5413285503
221,2173808.872163751
222,1227018.436833408
223,2649823.238603984
224,3038956.3906422844
225,2797973.779518556
226,4295243.71846627
227,1962217.4899911892
228,1834897.1919252044
229,1206279.2130948834
230,9228864.714033375
231,4600486.129346262
232,2772905.805333986
233,2309679.113400164
234,3164575.723483398
235,1826463.623043005
236,4463192.811941215
237,4609309.463119552
238,4369952.568280589
239,3000753.327588222
240,2451861.686399849
241,2699413.7369707087
242,4857641.12853853
243,3054087.1344284303
244,8009717.9117935235
245,2980820.6619908763
246,6504322.745290004
247,1586077.4238142606
248,2797173.560804432
249,1816086.6868711875
250,1649852.3789548418
251,3900736.595222585
252,4491028.314321652
253,2708066.0524513894
254,3129991.390697499
255,5614302.6690293
256,2036516.5564370998
257,2084716.4593783384
258,1938815.1689693297
259,2957840.691121965
260,6374706.039447493
261,3509520.106583801
262,1345211.4527312806
263,1733642.9481981979
264,8590347.769634435
265,2011653.5438390584
266,1633923.5191404521
267,1394299.8622906108
268,2699413.7369707087
269,7692791.273416851
270,4119696.701504829
271,2965787.1867620014
272,2939816.97479093
273,3042726.48395598
274,2203310.695827418
275,2139768.1022494235
276,2921074.404489936
277,1448489.4808697235
278,1632351.9265018732
279,2451861.686399849
280,2678543.3604433443
281,3362106.648500979
282,1940425.4092521095
283,8351634.397938694
284,4878107.176493925
285,3117103.817464825
286,1190472.7839747437
287,4419491.510817594
288,3120940.9780649985
289,2595501.384421732
290,3472296.489989036
291,2277765.4337940374
292,1902206.278469519
293,4606908.800728111
294,2032866.6147325358
295,2070262.5607782465
296,2277620.169080053
297,5787033.916724641
298,5851976.076506942
299,2131064.5413285503
300,3353752.939501187
301,4597387.8038263805
302,1373395.3253033457
303,8314672.218679421
304,2965684.538086689
305,3182789.5413425327
306,3061659.357185291
307,2097647.246946761
308,2930814.5795587697
309,2515243.9097455274
310,1729249.7995376075
311,2668767.9652598575
312,3827173.6918863733
313,5532334.785696275
314,5555591.808777913
315,3327609.5622908617
316,2175353.656892014
317,2355984.749282887
318,1944665.974950691
319,1366629.3351388453
320,2846851.408641674
321,2861397.6872403864
322,1827891.3557174
323,1929727.4290591152
324,1824344.867243706
325,3438876.8535333727
326,4043993.6559853093
327,3371394.1399085647
328,3598749.0774763217
329,8184996.254696923
330,3176006.957149355
331,798738.2281943312
332,1318987.8912262267
333,2677475.7153367
334,3794182.821886465
335,8473195.661073226
336,1809396.149970833
337,1519351.6069869874
338,4487950.507947861
339,2490218.812114489
340,1582835.3367564853
341,4083750.893910608
342,1339102.5561254101
343,2072691.603119285
