product,status,brand,categories,price,desc,,
12900169,new,xerox,226 5 8,10890,1 3000.0 Xerox WorkCentre PE114e для лазерного принтера черный,,
12000144,new,caramelia,155 239 128,8990,,,
12000145,new,баюшка,155 239 128,7700,,,
12000179,new,plitex,155 239 128,4100,20.0 34.0 78.0 бязь высокая высокая детский кокосовая койра,,
12000180,new,plitex,155 239 128,12800,10.0 119.0 60.0 беспружинный бязь детский комбинированный,,
12000181,new,pali,155 239 128,18000,124.0 64.0 8.0 антибактериальная беспружинный детский жаккард пенополиуретан,,
12000182,new,simam,155 239 128,16830,12.0 125.0 65.0 войлок детский жаккард с независимыми пружинами,,
12000183,new,bambola,155 239 128,12357,119.0 12.0 59.0 детский жаккард с зависимыми пружинами холлофайбер,,
12000184,old,наша мама,155 239 128,0,120.0 60.0 беспружинный детский латекс ортопедический хлопок,,
12000185,new,мишутка,155 239 128,5391,120.0 60.0 бязь детский ортофайбер с зависимыми пружинами средняя средняя,,
12000186,new,фабрика облаков,155 239 128,24651,20.0 43.0 70.0 беспружинный детский до 6 месяцев пенополиуретан хлопок,,
12000187,new,мишутка,155 239 128,7650,119.0 12.0 60.0 беспружинный бикокос бязь детский,,
12000188,new,мишутка,155 239 128,6282,10.0 119.0 60.0 беспружинный бикокос бязь детский средняя средняя,,
12000189,new,мишутка,155 239 128,5643,119.0 60.0 7.0 беспружинный бикокос бязь детский,,
12000190,old,babyline,155 239 128,0,120.0 14.0 60 кг 60.0 бамбук детский низкая низкая ортопедический пенополиуретан с независимыми пружинами,,
12000191,old,babyline,155 239 128,0,120.0 14.0 60 60.0 детский жаккард низкая ортопедический пенополиуретан с независимыми пружинами,,
12000192,old,babyline,155 239 128,0,120.0 140 17.0 60.0 выше средней детский жаккард латекс ниже средней ортопедический с независимыми пружинами,,
12000193,new,наша мама,155 239 128,25542,119.0 12.0 60.0 антистрессовая беспружинный детский комбинированный ортопедический хлопок,,
12000194,new,наша мама,155 239 128,27360,119.0 12.0 60.0 антистрессовая беспружинный детский комбинированный ортопедический хлопок,,
12000195,new,наша мама,155 239 128,9711,119.0 60.0 8.0 беспружинный бязь детский комбинированный ортопедический,,
12000196,new,наша мама,155 239 128,8820,119.0 60.0 7.0 беспружинный бязь детский кокосовая койра ортопедический,,
12000197,new,наша мама,155 239 128,11655,119.0 6.0 60.0 беспружинный бязь детский латекс ортопедический,,
12000198,new,зевушка,155 239 128,24800,20.0 43.0 70.0 детский пенополиуретан хлопок,,
12000199,new,крошкин дом,155 239 128,14690,119.0 12.0 59.0 беспружинный детский термополотно хлопок,,
12000200,new,крошкин дом,155 239 128,3845,119.0 59.0 6.0 беспружинный детский ортофайбер ситец,,
12000201,new,амф,155 239 128,16000,160.0 18.0 70.0 антибактериальная детский жаккард пенополиуретан с независимыми пружинами средняя,,
12000202,new,абсолют спорт,155 239 128,20500,110 кг 12.0 160.0 70.0 беспружинный детский жаккард пенополиуретан,,
12000203,new,caramelia,155 239 128,7990,125.0 5.0 75.0 беспружинный бязь выше средней детский средняя холкон,,
12000204,new,caramelia,155 239 128,5490,5.0 75.0 75.0 беспружинный бязь детский средняя холкон,,
12000205,new,мишутка,155 239 128,7128,120.0 60.0 беспружинный бикокос бязь детский средняя средняя,,
12000206,new,фея,155 239 128,4990,119.0 60.0 8.0 беспружинный бязь детский ниже средней ниже средней холлофайбер,,
13700001,old,erlit,257 240 244,0,900x2150x900 мм акрил высокий закрытый классический полки раздвижные стекло угловая,,
13700004,new,erlit,257 240 244,152040,1200x2200x850 мм акрил закрытый классический нестандартная низкий полки полностенное раздвижные стекло тропический душ,,
