iter	Passed	Remaining
773	4810	1404
774	4815	1398
775	4821	1391
776	4827	1385
777	4832	1378
778	4837	1372
779	4839	1365
780	4841	1357
781	4843	1350
782	4848	1343
783	4854	1337
784	4859	1330
785	4861	1323
786	4866	1317
787	4868	1309
788	4873	1303
789	4879	1297
790	4880	1289
791	4886	1283
792	4892	1277
793	4897	1270
794	4899	1263
795	4904	1256
796	4909	1250
797	4915	1244
798	4917	1237
799	4922	1230
800	4928	1224
801	4933	1218
802	4939	1211
803	4944	1205
804	4949	1199
805	4958	1193
806	4961	1186
807	4965	1180
808	4970	1173
809	4971	1166
810	4973	1159
811	4979	1152
812	4984	1146
813	4986	1139
814	4992	1133
815	4993	1126
816	4999	1119
817	5004	1113
818	5010	1107
819	5016	1101
820	5018	1094
821	5020	1087
822	5026	1080
823	5031	1074
824	5036	1068
825	5040	1061
826	5046	1055
827	5051	1049
828	5057	1043
829	5059	1036
830	5060	1029
831	5066	1022
832	5071	1016
833	5077	1010
834	5082	1004
835	5084	997
836	5090	991
837	5095	985
838	5097	978
839	5099	971
840	5104	965
841	5109	958
842	5114	952
843	5120	946
844	5121	939
845	5127	933
846	5132	927
847	5138	921
848	5143	914
849	5147	908
850	5155	902
851	5163	896
852	5167	890
853	5168	883
854	5175	877
855	5181	871
856	5186	865
857	5192	859
858	5194	852
859	5199	846
860	5204	840
861	5206	833
862	5208	826
863	5210	820
864	5215	814
865	5221	807
866	5227	801
867	5228	795
868	5233	789
869	5235	782
870	5241	776
871	5243	769
872	5249	763
873	5254	757
874	5260	751
875	5265	745
876	5271	739
877	5272	732
878	5275	726
879	5277	719
880	5282	713
881	5284	706
882	5290	700
883	5295	694
884	5300	688
885	5306	682
886	5311	676
887	5317	670
888	5322	664
889	5328	658
890	5333	652
891	5335	645
892	5340	639
893	5346	633
894	5349	627
895	5353	621
896	5357	615
897	5364	609
898	5366	602
899	5368	596
900	5370	590
901	5375	584
902	5381	578
903	5386	572
904	5391	566
905	5397	560
906	5403	554
907	5408	548
908	5414	542
909	5417	535
910	5419	529
911	5424	523
912	5427	517
913	5429	510
914	5434	504
915	5440	498
916	5442	492
917	5443	486
918	5449	480
919	5454	474
920	5460	468
921	5465	462
922	5468	456
923	5473	450
924	5478	444
925	5480	437
926	5485	431
927	5491	426
928	5496	420
929	5501	414
930	5507	408
931	5508	401
932	5511	395
933	5516	389
934	5518	383
935	5523	377
936	5529	371
937	5534	365
938	5538	359
939	5546	354
940	5550	348
941	5554	341
942	5560	336
943	5568	330
944	5574	324
945	5579	318
946	5584	312
947	5587	306
948	5592	300
949	5597	294
950	5603	288
951	5608	282
952	5614	276
953	5619	270
954	5625	265
955	5627	259
956	5632	253
957	5634	247
958	5636	240
959	5641	235
960	5647	229
961	5648	223
962	5654	217
963	5656	211
964	5657	205
965	5663	199
966	5668	193
967	5674	187
968	5679	181
969	5685	175
970	5686	169
971	5692	163
972	5698	158
973	5703	152
974	5705	146
975	5710	140
976	5716	134
977	5721	128
978	5727	122
979	5735	117
980	5739	111
981	5743	105
982	5748	99
983	5754	93
984	5761	87
985	5766	81
986	5771	76
987	5773	70
988	5779	64
989	5781	58
990	5786	52
991	5792	46
992	5793	40
993	5795	34
994	5797	29
995	5802	23
996	5804	17
997	5810	11
998	5815	5
999	5821	0
