iter	RMSE
591	46.44404823
592	46.4317569
593	46.41639845
594	46.41630611
595	46.38276176
596	46.34733631
597	46.33883031
598	46.32455181
599	46.30707952
600	46.27484287
601	46.27478386
602	46.25919905
603	46.23432084
604	46.22041484
605	46.21222967
606	46.19401955
607	46.19397252
608	46.19395594
609	46.18123757
610	46.18024916
611	46.17047038
612	46.16637253
613	46.16497812
614	46.15439025
615	46.09681299
616	46.08325421
617	46.07095313
618	46.053425
619	46.04482213
620	46.03577587
621	45.99294331
622	45.95955232
623	45.93454967
624	45.89835134
625	45.89712621
626	45.89708245
627	45.88282738
628	45.86419906
629	45.82111614
630	45.78763189
631	45.7819292
632	45.75361122
633	45.73185267
634	45.73180125
635	45.72225883
636	45.72216908
637	45.6958364
638	45.68782846
639	45.68763221
640	45.67522182
641	45.65337512
642	45.63660191
643	45.62310526
644	45.62082867
645	45.60395821
646	45.586527
647	45.57653534
648	45.57648021
649	45.56205714
650	45.54545267
651	45.51965064
652	45.508458
653	45.48738158
654	45.47308727
655	45.473085
656	45.4730835
657	45.44666727
658	45.42893872
659	45.41698378
660	45.4110556
661	45.41105268
662	45.38572102
663	45.34790223
664	45.33280615
665	45.3326513
666	45.30261719
667	45.26282281
668	45.24909563
669	45.23490726
670	45.23397825
671	45.21278811
672	45.18103409
673	45.15670106
674	45.13283462
675	45.11138755
676	45.09331884
677	45.0748715
678	45.05964783
679	45.03498195
680	45.0197389
681	45.01784609
682	45.01006234
683	45.00224227
684	44.98419025
685	44.9793103
686	44.96737094
687	44.96732154
688	44.94898591
689	44.94179412
690	44.92471148
691	44.91967118
692	44.91578867
693	44.9157327
694	44.90055731
695	44.89874655
696	44.88073873
697	44.88036447
698	44.86401012
699	44.84105237
700	44.82940793
701	44.80728672
702	44.7991844
703	44.79612858
704	44.77592457
705	44.76018196
706	44.76013056
707	44.76003837
708	44.74225001
709	44.72373605
710	44.70165005
711	44.68503086
712	44.67279822
713	44.66224041
714	44.64928703
715	44.64923744
716	44.64240995
717	44.63922029
718	44.62422399
719	44.61863654
720	44.61392381
721	44.5956336
722	44.5751483
723	44.56767948
724	44.56391156
725	44.55688163
726	44.55683346
727	44.54570362
728	44.54406352
729	44.51784479
730	44.51152261
731	44.50169598
732	44.48554498
733	44.4774671
734	44.45842623
735	44.43277543
736	44.43271796
737	44.42645875
738	44.41131372
739	44.37278177
740	44.35234988
741	44.33461879
742	44.32781685
743	44.31813862
744	44.30917047
745	44.30211933
746	44.28724391
747	44.26400908
748	44.25874699
749	44.24721096
750	44.23953635
751	44.2355909
752	44.22836338
753	44.22293005
754	44.22287202
755	44.21202587
756	44.21197102
757	44.18709155
758	44.1869926
759	44.18640906
760	44.17300641
761	44.15452938
762	44.14959976
763	44.12727252
764	44.12274663
765	44.12243335
766	44.1220838
767	44.10761045
768	44.1017832
769	44.09487829
770	44.09487765
771	44.09452815
772	44.09430477
773	44.07898373
774	44.07029036
775	44.04475794
776	44.02872748
777	44.02306447
778	44.00924811
779	44.00919951
780	44.00915375
781	44.00902689
782	43.99253887
783	43.98116221
784	43.95581995
785	43.95576916
786	43.94958176
787	43.94953608
788	43.94202239
789	43.93234
790	43.93230456
791	43.92283539
792	43.90442413
793	43.89082996
794	43.89072784
795	43.87731397
796	43.86975931
797	43.85434607
798	43.85433035
799	43.84786577
800	43.82818529
801	43.82111516
802	43.81314283
803	43.79994459
804	43.78520786
805	43.76233478
806	43.76233102
807	43.76228922
808	43.76151907
809	43.76148079
810	43.76146702
811	43.7306782
812	43.71188443
813	43.71180342
814	43.67987911
815	43.67982835
816	43.65456492
817	43.63706006
818	43.62237083
819	43.59851724
820	43.59818904
821	43.59815807
822	43.58783022
823	43.56564498
824	43.55979501
825	43.5581756
826	43.55324412
827	43.54703801
828	43.52303017
829	43.523025
830	43.52302075
831	43.50653565
832	43.50059339
833	43.48151904
834	43.47460923
835	43.47449907
